id,phone,salary
1,13817498052,21356
2,13828177229,31193
3,13839762652,34354
4,13858412546,33131
5,13894498684,14622
6,13813729076,47033
7,13864625417,14794
8,13837803614,32665
9,13832676807,7972
10,13881121326,49562
11,13814960430,32640
12,13818596037,35041
13,13846851844,7289
14,13822332767,47039
15,13861959884,42346
16,13855832207,23893
17,13885030278,23172
18,13853634698,14528
19,13847944814,26764
20,13865857670,49577
21,13852575722,38397
22,13858234863,46638
23,13894593307,44407
24,13855576588,16852
25,13841506482,40311
26,13894154602,6785
27,13811612217,15756
28,13822338800,11689
29,13892084349,41544
30,13812667894,29203
31,13897933320,40199
32,13820592052,23212
33,13811016563,21839
34,13855382284,5348
35,13830242600,28328
36,13844800780,25202
37,13821135540,6540
38,13815964307,36978
39,13867417444,38029
40,13898046493,12132
41,13848207028,5129
42,13833150244,39223
43,13825528952,17943
44,13883694458,34401
45,13864223284,10385
46,13878652053,34942
47,13825451846,36370
48,13874959075,44365
49,13893219572,35583
50,13862913713,36247
51,13842839715,37208
52,13828126271,46623
53,13821862187,28259
54,13852889648,37224
55,13830334478,34424
56,13843775581,16026
57,13894187663,45848
58,13863024148,18743
59,13817542285,27423
60,13816176905,49098
61,13820558367,10505
62,13834116013,34676
63,13877513038,8401
64,13855465769,9885
65,13864236693,16798
66,13865129332,49511
67,13828741192,6828
68,13831044456,47305
69,13811692876,25463
70,13819076875,14086
71,13896251223,17899
72,13810796302,13305
73,13864049185,6028
74,13810636436,35317
75,13855789750,12154
76,13814922136,22333
77,13827239052,39457
78,13811862735,8437
79,13850966962,46902
80,13871617270,47335
81,13860110995,14702
82,13895341316,38882
83,13885313707,26371
84,13852792129,28475
85,13848750942,15638
86,13844912088,39587
87,13892685600,26279
88,13843191872,28325
89,13887446639,12369
90,13885817053,43788
91,13875950611,31953
92,13829856229,49499
93,13892151747,41759
94,13899638482,30668
95,13883593696,16428
96,13818493907,26433
97,13850099471,5671
98,13873060553,35313
99,13872735994,30630
100,13857224226,43660
