id,phone,salary,credit_score,age,city,job,is_fraud
1,19057640335,45800,755,42,Beijing,Designer,False
2,13134687419,14583,770,26,Shanghai,Engineer,False
3,17578371528,59918,624,24,Beijing,Engineer,False
4,15875995783,77852,732,36,Beijing,Developer,False
5,17563796565,10984,639,38,Shenzhen,Engineer,False
6,15410146685,38233,611,55,Shanghai,Engineer,False
7,19675349959,59471,658,35,Beijing,Developer,False
8,13175821080,61871,816,43,Shanghai,Manager,True
9,15263366735,52124,612,53,Shanghai,Developer,False
10,15348992006,58998,844,32,Shanghai,Designer,False
11,15896074643,79655,637,50,Guangzhou,Developer,True
12,15061393458,17100,658,57,Shanghai,Developer,False
13,13298163114,60190,818,55,Shenzhen,Developer,False
14,15062248235,44441,603,36,Shenzhen,Manager,False
15,17745130086,24609,678,44,Guangzhou,Engineer,False
16,19331294201,63365,691,22,Beijing,Engineer,False
17,15845321276,55685,628,31,Guangzhou,Engineer,False
18,15149769999,62892,789,25,Beijing,Manager,False
19,19707711385,70503,707,53,Shenzhen,Designer,False
20,18569498215,19334,807,52,Guangzhou,Designer,False
21,13479541542,39146,717,27,Shanghai,Designer,False
22,17643900196,15418,772,49,Guangzhou,Engineer,False
23,15331337438,11617,816,22,Shenzhen,Developer,False
24,19733555942,74774,644,29,Guangzhou,Designer,False
25,13929238723,13392,838,25,Shanghai,Developer,False
26,15365633605,75517,836,57,Beijing,Engineer,False
27,18617523753,51363,847,55,Shanghai,Manager,False
28,13293177656,67878,694,22,Beijing,Engineer,False
29,19674943268,8320,615,22,Shenzhen,Developer,False
30,13731081695,53552,825,43,Beijing,Designer,False
31,15488583279,54619,704,49,Guangzhou,Manager,False
32,17355539350,28454,786,32,Shanghai,Engineer,False
33,15389754795,76018,738,56,Shanghai,Designer,False
34,13225817145,21514,657,28,Shenzhen,Engineer,False
35,13234542821,77870,705,56,Beijing,Developer,True
36,17180017791,21502,810,46,Shanghai,Manager,True
37,19126879398,49642,674,55,Shenzhen,Designer,False
38,18705273968,63565,773,53,Shanghai,Designer,False
39,19415402882,62894,807,29,Beijing,Engineer,False
40,13818273216,38627,608,39,Shanghai,Manager,False
41,17243394778,26470,589,24,Guangzhou,Engineer,False
42,15601648178,36157,586,53,Shenzhen,Designer,False
43,19422388413,21567,697,23,Shenzhen,Designer,False
44,15507410447,15333,664,35,Shanghai,Engineer,False
45,19630453912,37009,685,30,Shanghai,Developer,False
46,15394333105,45617,741,38,Shanghai,Developer,False
47,15770059011,47355,847,38,Shanghai,Designer,False
48,13143220942,26985,816,22,Shenzhen,Manager,False
49,19481656244,59012,685,51,Shanghai,Engineer,False
50,17361047825,19104,602,56,Shenzhen,Developer,False
51,17804539108,27806,788,57,Shenzhen,Developer,False
52,15464144056,9230,660,26,Shenzhen,Developer,True
53,18269773741,55751,688,57,Guangzhou,Designer,False
54,19774821087,37759,632,53,Guangzhou,Designer,False
55,19778734746,43028,648,50,Guangzhou,Manager,False
56,19113997636,37625,837,48,Guangzhou,Manager,False
57,15110569861,47173,728,28,Beijing,Engineer,False
58,17674841860,9949,737,55,Beijing,Designer,False
59,15650099953,43349,661,52,Guangzhou,Manager,False
60,18845630154,10130,631,30,Shenzhen,Designer,False
61,17162625052,18144,665,25,Shenzhen,Manager,False
62,15853826746,25168,642,46,Beijing,Designer,True
63,15400053727,32916,698,28,Shanghai,Manager,False
64,18459063202,24723,594,56,Shanghai,Engineer,False
65,19709507056,35652,593,34,Shanghai,Manager,False
66,18536309741,49601,697,53,Guangzhou,Designer,False
67,17662479444,11820,785,30,Shanghai,Manager,False
68,19827042479,45101,617,45,Beijing,Engineer,False
69,19233411474,68047,671,34,Beijing,Manager,False
70,19325523599,79310,788,50,Shanghai,Manager,False
71,19048156366,56969,678,50,Beijing,Designer,False
72,19515147942,35911,696,58,Shanghai,Designer,False
73,18807815168,37384,736,44,Shanghai,Designer,False
74,15901679300,67420,785,49,Shanghai,Manager,False
75,17845618143,35679,812,48,Shenzhen,Designer,False
76,13538389407,43442,657,26,Shanghai,Developer,True
77,18295315379,46312,739,51,Shanghai,Designer,False
78,18888260714,65394,763,33,Guangzhou,Designer,True
79,13800047708,76710,705,28,Shanghai,Designer,False
80,15748067120,72405,767,42,Shanghai,Designer,False
81,17494785234,10908,824,33,Guangzhou,Developer,False
82,15478235752,14317,822,36,Beijing,Manager,False
83,18505755954,20820,678,54,Shanghai,Manager,False
84,17222796244,26113,733,45,Beijing,Engineer,False
85,19546753573,58793,680,54,Beijing,Engineer,False
86,15185233879,47257,635,36,Shanghai,Designer,False
87,13215628393,34922,594,58,Shanghai,Engineer,False
88,19959345559,62991,756,36,Shenzhen,Designer,False
89,15460330818,12983,816,29,Guangzhou,Designer,False
90,17822066362,51873,733,44,Guangzhou,Developer,False
91,18591401852,52429,745,49,Shanghai,Engineer,False
92,18336218209,18198,725,51,Shenzhen,Developer,False
93,13342453208,33831,641,33,Guangzhou,Developer,False
94,19022605714,30112,600,25,Guangzhou,Engineer,True
95,17690225762,49643,613,38,Shanghai,Manager,False
96,18971574111,42887,653,37,Guangzhou,Developer,True
97,17852248144,25621,791,33,Shenzhen,Engineer,False
98,15094005676,34076,781,37,Beijing,Manager,False
99,17002761457,42118,781,56,Shanghai,Developer,False
100,13745167398,60504,719,26,Beijing,Engineer,False
