id,phone,salary,credit_score,age,city,job,is_fraud,risk_level
1,19570007618,76125,669,26,Shanghai,Engineer,True,Medium
2,17989901884,16366,586,25,Xian,Designer,True,High
3,13219152401,10381,799,27,Hangzhou,Developer,False,Low
4,13906032799,61120,758,49,Xian,Analyst,False,Low
5,18389126269,40530,760,33,Beijing,Director,False,Low
6,13834579394,23998,798,26,Shenzhen,Manager,False,Low
7,19416930524,44080,743,31,Shenzhen,Consultant,False,Medium
8,15061712509,18112,846,36,Hangzhou,Engineer,False,Low
9,13743590827,56841,693,27,Shenzhen,Consultant,True,Medium
10,17736501663,20879,754,50,Chengdu,Designer,False,Low
11,15450234497,63336,707,53,Xian,Engineer,False,Medium
12,17108364419,13536,620,47,Shanghai,Designer,True,High
13,13923519859,23203,717,45,Shanghai,Consultant,False,Medium
14,18284888232,60719,684,56,Hangzhou,Director,True,Medium
15,18076638213,72753,676,55,Shenzhen,Analyst,True,Medium
16,17944920330,26422,795,58,Guangzhou,Manager,False,Low
17,17071446178,40862,758,52,Shenzhen,Engineer,False,Low
18,19523906408,25398,722,57,Shenzhen,Developer,False,Medium
19,15044293428,44582,805,26,Guangzhou,Consultant,False,Low
20,17183766266,49449,645,42,Hangzhou,Designer,True,High
21,17190951668,61453,667,41,Shanghai,Analyst,True,Medium
22,19035962019,51814,621,25,Guangzhou,Manager,True,High
23,13350678055,29895,818,46,Guangzhou,Manager,False,Low
24,17896450881,50169,626,47,Beijing,Engineer,True,High
25,17924909286,75761,728,54,Xian,Engineer,False,Medium
26,13731731383,41371,726,43,Chengdu,Manager,False,Medium
27,13093215089,40422,818,25,Shenzhen,Manager,False,Low
28,18202375800,15141,673,34,Shenzhen,Engineer,False,Medium
29,17679433304,28661,640,33,Wuhan,Designer,True,High
30,13002304353,20841,643,26,Guangzhou,Engineer,True,High
31,18639107769,53927,845,56,Shanghai,Engineer,False,Low
32,19085375166,33275,833,57,Shenzhen,Developer,False,Low
33,19417114759,10632,801,40,Chengdu,Analyst,False,Low
34,19845271483,36609,783,52,Guangzhou,Analyst,False,Low
35,19775040659,52382,619,36,Guangzhou,Consultant,True,High
36,19098683540,27950,703,51,Beijing,Director,False,Medium
37,18080817937,20574,694,54,Shanghai,Manager,False,Medium
38,13615162058,76100,621,26,Shanghai,Manager,True,High
39,17843450067,29674,829,48,Hangzhou,Director,False,Low
40,19988012777,30919,623,52,Shanghai,Consultant,True,High
41,17054600820,58607,600,30,Chengdu,Analyst,True,High
42,17954422742,73206,739,38,Shenzhen,Engineer,False,Medium
43,13348041893,36486,707,39,Hangzhou,Analyst,False,Medium
44,17861685049,17653,678,56,Shenzhen,Developer,False,Medium
45,17440501353,70297,659,22,Wuhan,Director,True,Medium
46,18015385035,53626,628,23,Chengdu,Analyst,True,High
47,15732357144,57482,696,38,Xian,Developer,True,Medium
48,19995216953,58392,753,50,Shanghai,Director,False,Low
49,18958919340,36715,587,28,Guangzhou,Engineer,True,High
50,15318972712,76500,585,33,Wuhan,Director,True,High
51,17107893486,40241,843,27,Xian,Consultant,False,Low
52,19309179424,33940,792,35,Wuhan,Manager,False,Low
53,17685847478,48890,679,29,Xian,Consultant,False,Medium
54,15245717747,56458,685,30,Chengdu,Analyst,True,Medium
55,17354214658,32962,689,23,Shanghai,Consultant,False,Medium
56,17107847307,65905,737,30,Wuhan,Manager,False,Medium
57,15494292515,28421,684,42,Guangzhou,Consultant,False,Medium
58,17186868085,56441,808,29,Chengdu,Designer,False,Low
59,18977409278,31863,589,22,Beijing,Director,True,High
60,17853965680,28352,708,32,Shanghai,Manager,False,Medium
61,19726049760,75039,690,53,Beijing,Designer,True,Medium
62,17616584159,14457,826,43,Xian,Engineer,False,Low
63,13523050750,58812,828,30,Beijing,Developer,False,Low
64,18161041262,58960,607,26,Chengdu,Developer,True,High
65,15951744193,37729,595,52,Shanghai,Developer,True,High
66,17612162501,71845,592,40,Xian,Developer,True,High
67,17960923856,12765,663,58,Beijing,Engineer,False,Medium
68,17883490329,51262,816,44,Beijing,Manager,False,Low
69,15600332144,47503,646,46,Xian,Consultant,True,High
70,18013329377,24720,635,33,Guangzhou,Engineer,True,High
71,17607678919,16485,832,24,Hangzhou,Analyst,False,Low
72,18621136692,75075,746,40,Shenzhen,Designer,False,Medium
73,13273516195,39838,839,46,Beijing,Engineer,False,Low
74,13765147488,48507,594,28,Hangzhou,Analyst,True,High
75,19818656602,65636,618,52,Wuhan,Director,True,High
76,15509694293,22478,830,34,Shenzhen,Director,False,Low
77,19818536239,79329,657,44,Shenzhen,Consultant,True,Medium
78,19805152457,13686,702,49,Hangzhou,Consultant,False,Medium
79,18967952913,45469,811,56,Shenzhen,Engineer,False,Low
80,18154937226,29657,713,32,Wuhan,Manager,False,Medium
81,19803084851,11143,840,55,Chengdu,Consultant,False,Low
82,17521321949,60310,652,48,Beijing,Manager,True,Medium
83,19308923420,76166,617,38,Xian,Designer,True,High
84,18231809328,79378,582,32,Shenzhen,Consultant,True,High
85,18226299777,79569,850,37,Beijing,Analyst,False,Low
86,17818189198,79676,844,32,Chengdu,Designer,False,Low
87,17401978431,48810,730,36,Beijing,Consultant,False,Medium
88,19941125058,63464,584,22,Wuhan,Analyst,True,High
89,13079744667,24166,836,44,Chengdu,Director,False,Low
90,15092706083,42063,707,32,Chengdu,Consultant,False,Medium
91,13304722994,44045,747,55,Wuhan,Developer,False,Medium
92,19284948304,38495,664,57,Shanghai,Analyst,False,Medium
93,18681048189,51208,721,27,Hangzhou,Manager,False,Medium
94,17239977362,47831,750,55,Beijing,Consultant,False,Low
95,15998192447,35228,811,46,Shenzhen,Designer,False,Low
96,18367653673,30053,645,46,Shenzhen,Director,True,High
97,18297277151,51845,750,55,Shanghai,Consultant,False,Low
98,13384941338,65525,778,44,Chengdu,Developer,False,Low
99,18156056815,26003,797,32,Chengdu,Manager,False,Low
100,15559943244,25361,662,55,Xian,Manager,False,Medium
101,17066143075,75266,678,43,Beijing,Developer,True,Medium
102,17609213141,79207,692,33,Hangzhou,Developer,True,Medium
103,15583729281,38054,673,24,Beijing,Consultant,False,Medium
104,13027958654,16107,736,34,Beijing,Director,False,Medium
105,18328418717,69871,711,54,Guangzhou,Analyst,False,Medium
106,18837513628,15506,663,38,Shanghai,Director,False,Medium
107,19489093652,54262,597,40,Hangzhou,Manager,True,High
108,18933167844,61622,597,35,Wuhan,Consultant,True,High
109,17252392836,63423,689,25,Beijing,Manager,True,Medium
110,15328652780,15451,617,26,Xian,Consultant,True,High
111,15213066696,12110,762,42,Guangzhou,Engineer,False,Low
112,17528011664,52607,597,49,Guangzhou,Analyst,True,High
113,19824542098,28347,816,32,Guangzhou,Consultant,False,Low
114,18739352545,32714,609,30,Hangzhou,Director,True,High
115,13655698456,46454,655,42,Guangzhou,Developer,False,Medium
116,17860490035,14700,841,44,Shenzhen,Analyst,False,Low
117,15948509368,30869,822,46,Shanghai,Designer,False,Low
118,13259213664,20441,713,53,Shanghai,Director,False,Medium
119,17709995348,36795,827,48,Hangzhou,Manager,False,Low
120,13482509828,75558,581,43,Xian,Director,True,High
121,19408295969,38188,697,26,Shenzhen,Director,False,Medium
122,15362325963,79282,753,28,Beijing,Developer,False,Low
123,13580582524,12224,601,56,Xian,Developer,True,High
124,15857283859,68134,713,39,Beijing,Director,False,Medium
125,17140790031,32781,630,49,Chengdu,Director,True,High
126,15228072622,30374,647,51,Shanghai,Engineer,True,High
127,18536156339,37412,686,37,Shanghai,Engineer,False,Medium
128,13966502506,41617,708,26,Chengdu,Manager,False,Medium
129,17341269390,37478,627,52,Wuhan,Designer,True,High
130,19261772123,64530,632,28,Shenzhen,Consultant,True,High
131,13048308167,29255,790,26,Beijing,Designer,False,Low
132,13473938729,39721,840,22,Xian,Designer,False,Low
133,18255254516,11243,778,51,Chengdu,Designer,False,Low
134,13016115948,50332,767,31,Chengdu,Developer,False,Low
135,15551133563,75090,679,42,Chengdu,Manager,True,Medium
136,17078096903,43121,775,31,Hangzhou,Consultant,False,Low
137,19864343665,67629,833,36,Guangzhou,Analyst,False,Low
138,13757645311,13526,687,54,Hangzhou,Analyst,False,Medium
139,13244356013,72677,758,31,Shanghai,Manager,False,Low
140,18784206841,75116,615,56,Chengdu,Director,True,High
141,17605054725,15654,825,57,Xian,Developer,False,Low
142,17125821126,66597,776,39,Chengdu,Manager,False,Low
143,19934704708,29880,751,30,Beijing,Designer,False,Low
144,18630461765,9799,818,45,Chengdu,Manager,False,Low
145,15032832081,44168,693,58,Xian,Director,False,Medium
146,13195107070,54247,835,46,Beijing,Designer,False,Low
147,18090336759,65707,605,30,Wuhan,Director,True,High
148,13414390681,11512,606,27,Xian,Designer,True,High
149,18425340267,19814,653,33,Xian,Designer,False,Medium
150,15477939628,48818,766,34,Shanghai,Director,False,Low
151,15469171206,62087,727,37,Hangzhou,Manager,False,Medium
152,18076044556,23737,818,53,Hangzhou,Manager,False,Low
153,13049334760,11869,721,42,Shanghai,Developer,False,Medium
154,19249978478,37059,606,51,Beijing,Manager,True,High
155,13974595073,79141,740,23,Chengdu,Designer,False,Medium
156,13102783355,40334,581,49,Hangzhou,Director,True,High
157,13968799082,77851,817,22,Beijing,Director,False,Low
158,13217045740,53438,812,47,Xian,Manager,False,Low
159,15840675075,69518,821,36,Hangzhou,Director,False,Low
160,18072429703,71510,820,42,Chengdu,Engineer,False,Low
161,17171872225,21375,776,25,Shanghai,Director,False,Low
162,19055830229,15662,656,30,Xian,Designer,False,Medium
163,18319801867,54147,777,24,Hangzhou,Engineer,False,Low
164,19069607664,66434,811,25,Xian,Manager,False,Low
165,19247586953,66121,662,25,Shenzhen,Engineer,True,Medium
166,17987397621,14465,841,34,Chengdu,Manager,False,Low
167,17944098481,8099,657,47,Hangzhou,Analyst,False,Medium
168,17860255912,72009,635,25,Shenzhen,Designer,True,High
169,13145302147,44568,683,57,Xian,Director,False,Medium
170,15113050827,43968,635,54,Xian,Consultant,True,High
171,17053918359,59056,656,25,Shenzhen,Consultant,True,Medium
172,18370478010,70602,650,51,Wuhan,Analyst,True,Medium
173,17688708766,65824,655,39,Hangzhou,Director,True,Medium
174,15634218526,79760,672,34,Wuhan,Analyst,True,Medium
175,13673472670,52603,813,57,Beijing,Consultant,False,Low
176,15680206115,63868,603,58,Wuhan,Developer,True,High
177,19628376872,37077,664,50,Wuhan,Consultant,False,Medium
178,19111186014,16068,796,31,Shenzhen,Designer,False,Low
179,15593326857,25001,760,48,Shanghai,Developer,False,Low
180,18486236321,9306,715,44,Wuhan,Designer,False,Medium
181,19302037986,56345,679,23,Wuhan,Consultant,True,Medium
182,18614993681,16981,691,54,Guangzhou,Engineer,False,Medium
183,17088076560,42815,765,46,Shanghai,Developer,False,Low
184,19302922210,20781,719,34,Wuhan,Developer,False,Medium
185,18220217090,15214,813,45,Wuhan,Developer,False,Low
186,13079538527,13281,838,48,Hangzhou,Consultant,False,Low
187,15715107025,12037,819,40,Hangzhou,Analyst,False,Low
188,13844206711,78350,682,29,Chengdu,Designer,True,Medium
189,15842581180,47924,832,34,Wuhan,Analyst,False,Low
190,18538099791,20411,651,49,Hangzhou,Engineer,False,Medium
