id,phone,salary,credit_score,age,label,is_fraud
1,13898718604,18962,714,25,0,False
2,13835362748,33331,823,54,0,False
3,13840882159,9442,638,35,1,False
4,13846839833,44887,777,21,0,False
5,13822136567,25559,693,61,1,False
6,13876574183,14802,549,61,1,False
7,13891686163,20450,651,50,0,False
8,13821625353,26527,459,28,1,True
9,13894737136,9708,845,57,0,False
10,13879189175,26058,740,31,1,False
11,13823775165,45746,709,57,0,False
12,13882606115,22991,453,40,1,False
13,13893267613,35489,547,40,0,False
14,13882920112,14494,785,40,0,False
15,13825550986,30026,453,28,0,False
16,13813158896,26120,581,52,1,False
17,13845288102,10895,630,63,1,False
18,13850819380,28931,758,37,0,True
19,13882950774,27798,749,21,1,False
20,13829739174,9523,827,43,1,False
21,13818984013,21919,734,20,0,True
22,13815803533,8343,502,38,1,True
23,13858368599,14404,733,43,0,False
24,13845060294,16526,658,51,0,True
25,13853665894,12293,460,62,1,False
26,13876414802,40046,837,56,1,False
27,13847231505,11203,638,33,0,False
28,13850655774,31295,599,50,1,False
29,13881076435,45411,708,60,0,False
30,13886657414,35437,527,32,1,False
31,13862609718,13690,631,47,0,False
32,13891048740,43029,640,63,0,False
33,13831645239,39047,625,65,1,False
34,13837618045,21063,766,35,0,False
35,13854958022,18401,452,28,1,False
36,13893416496,27932,454,64,1,False
37,13845894139,16320,678,19,1,False
38,13845813608,38556,704,44,1,False
39,13835077564,9527,641,48,0,False
40,13841244911,19105,711,62,0,False
41,13832057305,24576,622,64,0,True
42,13861022751,33888,648,45,1,True
43,13892361320,11560,801,63,0,False
44,13815793992,37164,839,53,1,False
45,13861380005,22028,648,49,0,False
46,13880404400,38643,652,30,1,False
47,13874222293,43124,564,58,0,False
48,13884834220,36339,800,58,1,False
49,13887392336,25220,748,53,1,False
50,13863722535,25074,663,50,0,False
51,13834924637,47690,520,40,1,False
52,13833282018,23739,565,20,1,False
53,13811219550,17390,801,28,1,False
54,13866444529,23471,615,50,0,False
55,13852802138,33026,634,27,0,False
56,13861126925,26402,603,58,1,False
57,13832885460,42306,500,20,0,False
58,13815383642,32314,453,51,0,False
59,13876670028,11288,787,41,1,False
60,13878165291,13839,811,19,1,False
61,13887968153,26462,682,27,1,False
62,13831429224,26128,839,57,0,False
63,13893175899,11815,550,22,1,False
64,13841135676,44425,610,60,0,False
65,13848030947,38458,796,49,0,False
66,13854625555,12457,691,63,0,True
67,13865910640,13434,636,24,0,False
68,13857267440,46288,705,46,1,False
69,13814641343,11649,555,33,1,False
70,13838017612,43852,515,55,1,False
71,13853722136,43135,750,30,1,False
72,13896413928,17558,472,35,1,False
73,13898595618,6599,720,26,0,False
74,13888959413,42249,631,51,1,False
75,13865121959,24600,604,29,1,False
76,13864271423,42796,451,49,1,False
77,13876081525,13548,543,42,1,False
78,13810872668,35490,509,53,1,False
79,13887083687,45591,773,39,0,False
80,13832354704,48387,783,23,1,False
81,13836023998,41408,694,57,0,False
82,13872096912,8310,641,48,1,False
83,13842997829,14953,579,59,1,True
84,13840103816,16924,615,22,0,True
85,13856881705,9718,616,23,0,False
86,13851203699,17104,569,58,1,False
87,13826563938,18979,847,54,0,False
88,13823436836,13107,702,54,0,False
89,13810166945,38754,694,59,1,False
90,13827031440,15718,686,47,1,False
91,13890959216,48912,523,33,0,False
92,13879685848,47265,739,52,1,False
93,13859587138,30552,601,57,0,False
94,13869518360,27254,755,58,0,False
95,13876312492,5138,839,62,0,False
96,13829521646,18970,677,29,1,False
97,13867297159,18372,502,24,0,False
98,13852296766,10670,630,23,0,False
99,13831180890,21539,727,37,0,True
100,13884608407,25663,463,47,1,False
101,13880572019,37875,730,28,1,False
102,13864853146,32265,477,60,0,False
103,13831831065,30143,690,58,0,False
104,13826632010,12317,632,64,1,False
105,13843052883,39307,529,60,1,True
106,13861194103,38405,735,31,1,False
107,13834600303,15858,755,41,0,False
108,13816304509,20997,541,55,1,False
109,13838037596,33377,526,27,1,False
110,13845123485,36789,837,42,1,False
111,13890190070,20765,639,59,0,False
112,13846528167,38267,616,28,0,False
113,13834746515,39443,588,42,1,False
114,13859978636,23958,680,20,0,False
115,13878677640,11195,556,53,1,False
